engine_file,id,source_page,pos,pos_final,pn,pn_final,esquemas,ruta_esquemas_pos,esquemas_circulos,esquemas_circulos_all
engine_12V4000M40A.json,RB-12V4000M40A-002381,358,385,385,0035315881,0035315881,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002382,358,390,390,0035315981,0035315981,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002383,358,440,440,0035319481,0035319481,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002384,358,450,450,0045310081,0045310081,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002389,358,475,475,0005333476,0005333476,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002394,358,500,500,5005300226,5005300226,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002395,358,505,505,5005300326,5005300326,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002399,358,525,525,0025318560,0025318560,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002400,358,530,530,0025318660,0025318660,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002401,358,535,535,0055315981,0055315981,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002403,358,545,545,0005331190,0005331190,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002404,358,550,550,206797003200,206797003200,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002405,358,555,555,207985003108,207985003108,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002430,359,695,695,000439008201,000439008201,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002434,359,715,715,0035319981,0035319981,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002436,359,725,725,0035315781,0035315781,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002438,359,735,735,006797004232,006797004232,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002473,367,55,55,5285301983,5285301983,12V4000M40A-0367-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002474,367,70,70,0095314348,0095314348,12V4000M40A-0367-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002475,367,80,80,5295308212/S0001,5295308212/S0001,12V4000M40A-0367-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002476,367,85,85,5045307892,5045307892,12V4000M40A-0367-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002605,386,140,140,0005334190,0005334190,12V4000M40A-0386-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002607,386,155,155,5005334589,5005334589,12V4000M40A-0386-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002639,388,330,330,0035319481,0035319481,12V4000M40A-0387-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002675,390,125,125,5295308812,5295308812,12V4000M40A-0390-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002684,397,21,21,X00E50200899 152X152X128,X00E50200899 152X152X128,12V4000M40A-0397-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002704,404,45,45,5275334402 423X270X76,5275334402 423X270X76,12V4000M40A-0404-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002705,404,55,55,5275351291 427X275X11,5275351291 427X275X11,12V4000M40A-0404-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002724,404,255,255,207985006102,207985006102,12V4000M40A-0404-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002725,404,265,265,0009880270,0009880270,12V4000M40A-0404-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002726,404,275,275,41458,41458,12V4000M40A-0404-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002727,405,285,285,5275307654/76,5275307654/76,12V4000M40A-0404-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002738,410,30,30,,,12V4000M40A-0410-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002742,410,50,50,0005331190,0005331190,12V4000M40A-0410-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002743,410,55,55,700429290000,700429290000,12V4000M40A-0410-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002751,410,105,105,R5275304360/76,R5275304360/76,12V4000M40A-0410-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002757,412,55,55,5275305512/76,5275305512/76,12V4000M40A-0412-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002761,414,50,50,007603018101,007603018101,12V4000M40A-0414-01.webp,,,
