sku;import_decision;import_reason;designation_final;measure_final;weight_final;source_engine_file;source_id;total_occurrences_global;engine_models_all;source_pages_all;source_ids_all;compacted_type
X00009406;import_superseded;relacion superseded clara;CYLINDER HEAD COVER;;2.500 kg;engine_20V4000M93L.json;1800511;6;16V4000M73L, 20V4000M93L;84, 569, 914, 1195, 1257, 1568;1500421, 1503627, 1506090, 1508578, 1800511, 1804084;superseded
X59407500009;import_superseded;relacion superseded clara;INJECTOR;;3,540 KG EM;engine_16V4000M73L.json;1500435;4;16V4000M73L;89, 574, 919, 1262;1500435, 1503641, 1506104, 1508592;superseded
XP52711400022;import_superseded;relacion superseded clara;INTERCOOLER;LADELUFTKUEHLER;EM;engine_16V4000M73L.json;1500845;4;16V4000M73L;138, 623, 968, 1310;1500845, 1504051, 1506514, 1508999;superseded
0000983018;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: designation_conflict | ya existe en WordPress/product-export | relacion superseded clara;ACTUATING CYLINDER;;1,285 KG;engine_16V4000M73L.json;1500871;13;16V4000M73L, 20V4000M93L;149, 174, 635, 660, 980, 1005, 1267, 1298, 1345, 1644, 1675;1500871, 1501088, 1504078, 1504295, 1506541, 1506758, 1509241, 1509246, 1509258, 1801159, 1801541, 1804765, 1805147;superseded
X00003043;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: weight_conflict | ya existe en WordPress/product-export | relacion superseded clara;GASKET;;9.000 g;engine_20V4000M93L.json;1801509;6;16V4000M73L, 20V4000M93L;173, 659, 1004, 1297, 1345, 1674;1501062, 1504269, 1506732, 1509245, 1801509, 1805115;superseded
X00003040;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: weight_conflict | ya existe en WordPress/product-export | relacion superseded clara;GASKET;;6.000 g;engine_20V4000M93L.json;1801528;6;16V4000M73L, 20V4000M93L;173, 659, 1004, 1297, 1345, 1674;1501081, 1504288, 1506751, 1509244, 1801528, 1805134;superseded
X00003011;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: weight_conflict | ya existe en WordPress/product-export | relacion superseded clara;GASKET;;8.200 g;engine_20V4000M93L.json;1801529;6;16V4000M73L, 20V4000M93L;173, 659, 1004, 1297, 1345, 1674;1501082, 1504289, 1506752, 1509242, 1801529, 1805135;superseded
X00003012;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: weight_conflict | ya existe en WordPress/product-export | relacion superseded clara;GASKET;;11.000 g;engine_20V4000M93L.json;1801530;6;16V4000M73L, 20V4000M93L;173, 659, 1004, 1297, 1345, 1674;1501083, 1504290, 1506753, 1509243, 1801530, 1805136;superseded
X59414500018;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;EXHAUST PIPE BELLOWS;;13,350 KG;engine_16V4000M73L.json;1501117;4;16V4000M73L;180, 666, 1011, 1351;1501117, 1504324, 1506787, 1509273;superseded
5261800465/87;import_superseded;relacion superseded clara;OIL COOLER WITH TEST CERT. 3.1;;;engine_16V4000M73L.json;1501327;4;16V4000M73L;204, 690, 1035, 1373;1501327, 1504534, 1506997, 1509483;superseded
X00003620;import_superseded;conflictos detectados: designation_conflict | ya existe en WordPress/product-export | relacion superseded clara;OIL FILTER ELEMENT;;;engine_16V4000M73L.json;1501489;6;16V4000M73L, 20V4000M93L;221, 707, 1052, 1350, 1389, 1730;1501489, 1504696, 1507159, 1509647, 1802029, 1805688;superseded
X59620200103;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: designation_conflict, weight_conflict | relacion superseded clara;COVER PLATE FOR SEAWATER COOLER BR 4000;;45.467 kg;engine_20V4000M93L.json;1802784;8;16V4000M73L, 20V4000M93L;238, 724, 1069, 1400, 1406, 1780;1501645, 1504852, 1507315, 1509804, 1509805, 1509808, 1802784, 1806443;superseded
X59420300001;import_superseded;relacion superseded clara;COVER PLATE FOR SEAWATER COOLER;;;engine_16V4000M73L.json;1501662;6;16V4000M73L, 20V4000M93L;242, 728, 1073, 1403, 1409, 1783;1501662, 1504869, 1507332, 1509820, 1802797, 1806456;superseded
X00036967;import_superseded;relacion superseded clara;FUEL PUMP;;;engine_16V4000M73L.json;1502075;2;16V4000M73L;298, 1548;1502075, 1510713;superseded
X00038367;import_superseded;relacion superseded clara;FUEL FILTER;;;engine_16V4000M73L.json;1502096;2;16V4000M73L;301, 1551;1502096, 1510734;superseded
X00038494;import_superseded;relacion superseded clara;FILTER ELEMENT;FC 001-040, 4120;;engine_16V4000M73L.json;1502097;4;16V4000M73L, 16V4000M90, 20V4000M93L;113, 302, 1552, 1596;1502097, 1510735, 1600556, 1804236;superseded
X00E50200606;import_superseded;estado QA requiere revision manual | relacion superseded clara;PRESSURE SEN;;112 G;engine_16V4000M73L.json;1502298;4;16V4000M73L;337, 799, 1142, 1477;1502298, 1505335, 1507828, 1510318;superseded
0035352931;import_superseded;estado QA requiere revision manual | conflictos detectados: designation_conflict, weight_conflict | relacion superseded clara;PRESSURE SEN SOR;;163,200 G;engine_16V4000M73L.json;1502303;7;16V4000M73L, 20V4000M93L;337, 799, 1142, 1466, 1477, 1850;1502303, 1505340, 1507833, 1510314, 1510347, 1803335, 1807017;superseded
X00E50201370;import_superseded;relacion superseded clara;TEMPERATURE;;196 G;engine_16V4000M73L.json;1502307;4;16V4000M73L;337, 799, 1142, 1477;1502307, 1505344, 1507837, 1510326;superseded
5241534940;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: designation_conflict | ya existe en WordPress/product-export | relacion superseded clara;BRACKET OFFSET H:38 4000;;94.400 g;engine_20V4000M93L.json;1803296;7;16V4000M73L, 20V4000M93L;356, 818, 1161, 1460, 1844;1502521, 1505558, 1508051, 1803279, 1803296, 1806961, 1806978;superseded
0105314680;import_superseded;relacion superseded clara;CABLE;8X2,5MM2, + 1X2X0,75MM;0.46 KGM;engine_16V4000M73L.json;1502758;4;16V4000M73L;401, 404, 1598, 1601;1502758, 1502796, 1510984, 1511022;superseded
X59401100017;import_superseded;relacion superseded clara;INSPECT PORT COVER W/OIL FILLER NECK;;;engine_16V4000M73L.json;1503241;2;16V4000M73L;503, 848;1503241, 1505704;superseded
000934022002;import_superseded;relacion superseded clara;NUT HEX 10;M 22 X 1,5;0.065 KGM;engine_16V4000M73L.json;1507723;2;16V4000M73L;1119, 1454;1507723, 1510212;superseded
5260300105;import_superseded;relacion superseded clara;FLYWHEEL;;120.000 kg;engine_16V4000M90.json;1600293;1;16V4000M90;53;1600293;superseded
X00008637;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;FLANGE;;7.680 kg;engine_16V4000M90.json;1600342;1;16V4000M90;60;1600342;superseded
E5260701201;import_superseded;relacion superseded clara;HP PUMP;;60.000 kg EM;engine_16V4000M90.json;1600468;1;16V4000M90;92;1600468;superseded
R5260701201;import_superseded;relacion superseded clara;HP PUMP;;62.050 kg MN EM;engine_16V4000M90.json;1600469;1;16V4000M90;92;1600469;superseded
X52407500024;import_superseded;relacion superseded clara;INJECTOR;;;engine_16V4000M90.json;1600492;1;16V4000M90;98;1600492;superseded
8599970120;import_superseded;relacion superseded clara;O-RING;;50.000 g 17,12 X 2,62;engine_16V4000M90.json;1600739;1;16V4000M90;122;1600739;superseded
X52710100017;import_superseded;relacion superseded clara;EXHAUST TURBOCHARGER LEFT ZR195;;67.700 kg EM;engine_16V4000M90.json;1600757;1;16V4000M90;127;1600757;superseded
X52710100016;import_superseded;relacion superseded clara;EXHAUST TURBOCHARGER RIGHT ZR195;;69.300 kg EM;engine_16V4000M90.json;1600812;1;16V4000M90;133;1600812;superseded
X00001910;import_superseded;relacion superseded clara;STARTER;;29.880 kg;engine_16V4000M90.json;1601194;1;16V4000M90;176;1601194;superseded
X00001906;import_superseded;relacion superseded clara;STARTER;;29.880 kg;engine_16V4000M90.json;1601196;1;16V4000M90;176;1601196;superseded
5242033573;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;HOUSING WATER DISTRIBUTION;;;engine_16V4000M90.json;1601831;1;16V4000M90;245;1601831;superseded
5272030822;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;ELBOW;;;engine_16V4000M90.json;1601868;1;16V4000M90;251;1601868;superseded
0001501150;import_superseded;relacion superseded clara;ALT ASM F50301-120A/28V AVF-HUNGARY;;15.970 kg;engine_16V4000M90.json;1601949;1;16V4000M90;266;1601949;superseded
0001501927;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;COUPLING;;2.692 kg;engine_16V4000M90.json;1601950;1;16V4000M90;266;1601950;superseded
