sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
14601680;;;;pending_review;qa_pending_or_review_found;false;6;20V4000M93, 20V4000M93L;1702438, 1706178, 1709918, 1713662, 1802490, 1806149;282, 678, 1074, 1470, 1391, 1771;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":6,""count_review_action"":6,""count_other"":6}";pending_review;qa_pending_or_review_found
0015317686 5295300413/78;;nan;nan;pending_review;qa_pending_or_review_found;false;1;12V4000M70;1905039;745;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
0015330031 0025318583 0005316082 0005450583 0005313076 0175311083 0175310183 0175313683 0035337089 0095319880;;nan;nan;pending_review;qa_pending_or_review_found;false;1;12V4000M70;1905086;757;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
0015332731 0185310083;CAP TRANSPORT PROTECTION;723 GR.24 F.;4.000 g 2.000 g;pending_review;qa_pending_or_review_found;false;1;16V4000M90;1602756;402;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
16001675;;;;pending_review;qa_pending_or_review_found;false;1;16V4000M90;1601732;232;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
16020070;;;;pending_review;qa_pending_or_review_found;false;4;20V4000M93;1700600, 1704347, 1708087, 1711827;107, 503, 899, 1295;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
016531408;;;;pending_review;qa_pending_or_review_found;false;4;20V4000M93;1703210, 1706950, 1710690, 1714432;351, 747, 1143, 1539;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
016531438;;;;pending_review;qa_pending_or_review_found;false;4;20V4000M93;1703221, 1706961, 1710701, 1714443;353, 749, 1145, 1541;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
20062810;BEARING ANGUL;;750,000 g;pending_review;qa_pending_or_review_found;false;2;12V4000M70;1902072, 1904459;280, 617;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
20303025;BUTTON CAPS ROT;;;pending_review;qa_pending_or_review_found;false;1;16V4000M90;1602724;394;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23024025;;"HD-SERIE NW22; 90&#x00B0; F.";;pending_review;qa_pending_or_review_found;false;1;12V4000M53;1206569;803;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23503825;THERMOSTAT;;0.212 KGM;pending_review;qa_pending_or_review_found;false;1;20V4000M93L;1807272;1876;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23511991;GASKET;;;pending_review;qa_pending_or_review_found;false;1;20V4000M93L;1807269;1876;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23522269;GASKET;;;pending_review;qa_pending_or_review_found;false;1;20V4000M93L;1807270;1876;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23523779;HOSE;;203.600 g;pending_review;qa_pending_or_review_found;false;6;20V4000M93, 20V4000M93L;1700241, 1703985, 1707725, 1711465, 1800238, 1803810;41, 437, 833, 1229, 1143, 1516;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":6,""count_review_action"":6,""count_other"":6}";pending_review;qa_pending_or_review_found
