sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
5281840309;ADAPTER CENTRIFUGAL OIL FILTER C23;;2.02 KGM;import;qa_ok_importar_found;true;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401707, 1404876, 1408054, 1411232, 1501510, 1504717, 1507180, 1509668, 1701891, 1705631, 1709371, 1713116, 1802049, 1805708;227, 581, 936, 1290, 224, 710, 1055, 1392, 241, 637, 1033, 1429, 1352, 1732;"{""total_rows"":14,""count_ok_importar"":14,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281840509;COVER WATER DISTRIBUTION HOUSING BR 4000;;;import;qa_ok_importar_found;true;2;12V4000M53;1201476, 1204615;204, 559;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281840609;FLANGE;;0.22 KGM;import;qa_ok_importar_found;true;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401713, 1404882, 1408060, 1411238, 1501516, 1504723, 1507186, 1509674, 1701897, 1705637, 1709377, 1713122, 1802055, 1805714;227, 581, 936, 1290, 224, 710, 1055, 1392, 241, 637, 1033, 1429, 1352, 1732;"{""total_rows"":14,""count_ok_importar"":14,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281860001;SUCTION BASKET;;2.585 KGM;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1700112, 1703858, 1707598, 1711338, 1800094, 1803666;32, 428, 824, 1220, 1133, 1506;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281860004;STRAINER;;0.5 KGM;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1700113, 1703859, 1707599, 1711339, 1800095, 1803667;32, 428, 824, 1220, 1133, 1506;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281870008;TUBE SOCKET C23;;0.162 KGM;import;qa_ok_importar_found;true;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401720, 1404889, 1408067, 1411245, 1501523, 1504730, 1507193, 1509681, 1701904, 1705644, 1709384, 1713129, 1802062, 1805721;227, 581, 936, 1290, 224, 710, 1055, 1392, 241, 637, 1033, 1429, 1352, 1732;"{""total_rows"":14,""count_ok_importar"":14,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281880080;GASKET;;0.001 KGM;import;qa_ok_importar_found;true;12;12V4000M53, 16V4000M73, 20V4000M93, 20V4000M93L;1200330, 1203472, 1400303, 1403471, 1406640, 1409818, 1700291, 1704036, 1707776, 1711516, 1800300, 1803874;52, 407, 53, 761, 1116, 50, 446, 842, 1238, 1152, 1525;"{""total_rows"":12,""count_ok_importar"":12,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281880102;COVER;;2.676 KGM;import;qa_ok_importar_found;true;16;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1200331, 1203473, 1400304, 1403472, 1406641, 1409819, 1500210, 1503416, 1505879, 1508366, 1700292, 1704037, 1707777, 1711517, 1800303, 1803876;52, 407, 53, 761, 1116, 41, 526, 871, 1214, 50, 446, 842, 1238, 1152, 1525;"{""total_rows"":16,""count_ok_importar"":16,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5282000158;VENT LINE FOR COOLANT;;0.103 KGM;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1702446, 1706186, 1709926, 1713670, 1802498, 1806157;285, 681, 1077, 1473, 1394, 1774;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5282000258;VENT LINE FOR COOLAN FOR COOLANT;;0.053 KGM;import;qa_ok_importar_found;true;16;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1201850, 1204989, 1402156, 1405325, 1408503, 1411681, 1501813, 1505020, 1507483, 1509971, 1702488, 1706228, 1709968, 1713712, 1802539, 1806198;238, 593, 270, 624, 979, 1333, 252, 738, 1083, 1419, 285, 681, 1077, 1473, 1394, 1774;"{""total_rows"":16,""count_ok_importar"":16,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
