sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
richshafen GmbH;69262 2015-;;;discard;qa_ok_eliminar_found;true;3;20V4000M93;1704023, 1707763, 1711503;439, 835, 1231;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":3,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
TU Friedric;hshafen Gmb;ge: 50 /;;discard;qa_ok_eliminar_found;true;1;16V4000M90;1600317;60;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
TU Friedrich;shafen Gmb;e: 131 / 1;;discard;qa_ok_eliminar_found;true;8;16V4000M73, 16V4000M90, 20V4000M93, 20V4000M93L;1403196, 1406365, 1409543, 1601060, 1703824, 1707564, 1711304, 1800079;378, 732, 1087, 162, 425, 821, 1217, 1131;"{""total_rows"":8,""count_ok_importar"":0,""count_ok_eliminar"":8,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
TU Friedrichshafen;;1016 /;;discard;qa_ok_eliminar_found;true;3;20V4000M93;1712171, 1712231, 1712291;1335, 1338, 1341;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":3,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
TU Friedrichshafen G;;1111 / 2;15-07;discard;qa_ok_eliminar_found;true;4;20V4000M93L;1802005, 1802166, 1805664, 1805825;1349, 1364, 1729, 1744;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":4,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
TU Friedrichshafen Gmb;;/ 1;8;discard;qa_ok_eliminar_found;true;5;16V4000M73, 20V4000M93, 20V4000M93L;1412171, 1412190, 1712101, 1803328, 1807010;1382, 1383, 1328, 1466, 1850;"{""total_rows"":5,""count_ok_importar"":0,""count_ok_eliminar"":5,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
TU Friedrichshafen GmbH;;1088 /;;discard;qa_ok_eliminar_found;true;5;20V4000M93, 20V4000M93L;1712148, 1801871, 1801958, 1805530, 1805617;1329, 1337, 1348, 1717, 1728;"{""total_rows"":5,""count_ok_importar"":0,""count_ok_eliminar"":5,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
U Friedrichshafen Gm;bH Busines;;;discard;qa_ok_eliminar_found;true;1;16V4000M73L;1508488;1236;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X599001-101383;DRIVE SHAFT;;;discard;qa_ok_eliminar_found;true;2;16V4000M73L;1507720, 1510209;1119, 1454;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X599001-747562;EXHAUST SILENCER;;;discard;qa_ok_eliminar_found;true;4;16V4000M73L;1500998, 1504205, 1506668, 1509152;165, 651, 996, 1336;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":4,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X599001-748478;GEARBOX ZF 7550 A;I=2,964;10;discard;qa_ok_eliminar_found;true;1;16V4000M90;1602100;295;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X599002-101383;COUPLING;;;discard;qa_ok_eliminar_found;true;1;16V4000M73L;1502146;308;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X599003-101383;COUPLING;;;discard;qa_ok_eliminar_found;true;1;16V4000M73L;1505288;787;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X599004-743689;OIL DRIP TRAY 16V4000;;;discard;qa_ok_eliminar_found;true;2;12V4000M40A;1102644, 1102645;98, 186;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
