Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M53-001048;;250;O-RING;12V4000M53;12VM53;;000N15091/1;5331121989611;;;123;AIR SYSTEM;123 AIR SYSTEM;0.014 KGM;0.014 KGM;A 160 X 4;;149;XS526120.00050;12V4000M53-0148-01.webp, 12V4000M53-0148-02.webp;12V4000M53;12VM53-123;;Superseded;700429160001;700294162000, 000N15091/1, 700294160002;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0148-01-250.webp
RB-12V4000M40A-000460;;140;PLUG;12V4000M40A;12VM40A;;000N15138/1;5365123281397;;;77;INJECTION LINE / HP FUEL LINE;77 INJECTION LINE / HP FUEL LINE;0.019 KGM;0.019 KGM;A M 12 X 1,5;;92;070.00058;12V4000M40A-0091-01.webp, 12V4000M40A-0091-02.webp;12V4000M40A;12VM40A-77;;Superseded;007604012102;0009977030, 000N15138/1, 007604012100, 06.08092-0103;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000129;;55;NUT HEX;12V4000M40A;12VM40A;;000N18030/1;5310121446214;;;18;CRANKCASE BREATHER;18 CRANKCASE BREATHER;0.005 KGM;0.005 KGM;M 8;;29;010.00367;12V4000M40A-0029-01.webp;12V4000M40A;12VM40A-18;;Superseded;000934008008;8691510087, 06.11184-0114, 06111840114, 000934008010, 8699900050, 000N18030/1, 06.11062-0164, 000934008000, 06.11064-0114, 06.11068-0114;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001547;;130;WASHER A COP;12V4000M40A;12VM40A;;000N22031/1;5330121564823;;;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.002 KGM;0.002 KGM;A 27 X 32;;243;XK526200.746010-01;12V4000M40A-0243-01.webp;12V4000M40A;12VM40A-202;;Superseded;007603027100;000N22031/1, 06.56190-0729, 28399970144/0, 000N90133/1, 005016;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-16V4000M73-000720;;130;O-RING;16V4000M73;16VM73;;000N23091/1;5331123858320;;;83;FUEL FILTER;83 FUEL FILTER;0.001 KGM;0.001 KGM;A 22,2 X 3;;123;XS594080.00017;16V4000M73-0123-01.webp;16V4000M73;16VM73-83;;Superseded;700429022002;700294022001, 000N23091/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0123-01-130.webp
RB-12V4000M53-001092;;400;O-RING;12V4000M53;12VM53;;000N23101/1;5331123096344;;;;;;0.001 KGM;0.001 KGM;A 25 X 2,5;;151;X59412300090;12V4000M53-0151-01.webp;12V4000M53;;;Superseded;700429025001;0634306024, 0079976045, 000N23101/1, 000N05113/1, 000N05120/1, 0019976540, 0019979340, 11.20087-2037, 700294025001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0151-01-400.webp
RB-12V4000M40A-000808;;650;O-RING;12V4000M40A;12VM40A;;000N23113/1;5331121663389;;;120;AIR SYSTEM / AIR DUCTING;120 AIR SYSTEM / AIR DUCTING;0.001 KGM;0.001 KGM;A 8 X 2;;135;XS526120.00007;12V4000M40A-0134-01.webp, 12V4000M40A-0134-02.webp;12V4000M40A;12VM40A-120;;Superseded;700429008001;000N23113/1, 700294008002, 0039975845, 0039979545;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M53-001100;;800;SEALING RING;12V4000M53;12VM53;;000N24088/1;5330121327081;;;;;;0.001 KGM;0.001 KGM;A 10 X 15;;151;X59412300090;12V4000M53-0151-01.webp;12V4000M53;;;Superseded;007603010112;000N24088/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0151-01-800.webp
RB-12V4000M40A-001159;;45;WASHER A COP;12V4000M40A;12VM40A;;000N24155/1;5330121339431;;;;;;0.002 KGM;0.002 KGM;A 21 X 26;;193;182004-2;12V4000M40A-0193-01.webp;12V4000M40A;;;Superseded;007603021100;06.56500-0155, 8692030028, 000N24155/1, 06.56190-0716, 706565000155;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001673;;15;BOLT IN HEATER;12V4000M40A;12VM40A;;000N38007/1;4520123631662;;;;;;1.14 KGM;1.14 KGM;4,5KW 220 V3 GUELTIG;;254;0012030596;12V4000M40A-0254-01.webp;12V4000M40A;;;Superseded;8692030420;000N38007/1, 8692030004, 8692030340;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-16V4000M73-000759;;220;O-RING;16V4000M73;16VM73;;000N55005/1;5331123304291;;;;;;0.001 KGM;0.001 KGM;A 18,68X 3,53;;125;X59408300026;16V4000M73-0125-01.webp;16V4000M73;;;Superseded;700429018006;8490920180, 700294019000, 000N55005/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0125-01-220.webp
RB-16V4000M73-001686;;110;O-RING;16V4000M73;16VM73;;000N55009/1;5331123304292;;;;;;0.005 KGM;0.005 KGM;A 69,45X 3,53;;226;XP52700600009;16V4000M73-0225-01.webp, 16V4000M73-0225-02.webp, 16V4000M73-0226-01.webp;16V4000M73;;;Superseded;700429069000;700294070000, 000N55009/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0226-01-110.webp
RB-12V4000M40A-001299;;275;O-RING;12V4000M40A;12VM40A;;000N55054/1;5331123215575;;;185;TURBOCHARGER OIL SUPPLY;185 TURBOCHARGER OIL SUPPLY;0.002 KGM;0.002 KGM;A 28,15X 3,5;;213;180.00459;12V4000M40A-0213-01.webp;12V4000M40A;12VM40A-185;;Superseded;700429028005;000N55054/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-16V4000M73-001633;;400;O-RING;16V4000M73;16VM73;;000N55056/1;5331123215573;;;;;;0.001 KGM;0.001 KGM;A 15,6 X 1,78;;222;X52718300038/31;16V4000M73-0220-01.webp, 16V4000M73-0220-02.webp, 16V4000M73-0221-01.webp;16V4000M73;;;Superseded;700429015005;0005330960, 000N55056/1, 8699970820;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0220-02-400.webp
