sku;pn_final;PART NO.;engine;model_type;fg_code;fg_description;fg_code_description;exp_categorias;exp_imagenes;designation_final;DESIGNATION;sust_hierarchie;hierarchie_final;sust_new_part_number;new_pn_final;sust_superseded_list;subst_pnlist_final;measurement_final;weight_final;synthetic_source;data_quality;synthetic_parent_id;synthetic_parent_pn;synthetic_parent_engine;synthetic_child_id;synthetic_child_pn;synthetic_child_engine;dedupe_trace;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
000933012071;000933012071;000933012071;12V4000M40A;12VM40A;143;CARRIER HOUSING;143 CARRIER HOUSING;12VM40A-143;;HEX SCREW;HEX SCREW;New;New;000933012071;000933012071;000933012020, 06.01013-1313, 06010131313, 06.01283-3319, 06012833319;000933012020, 06.01013-1313, 06010131313, 06.01283-3319, 06012833319;M 12 X 40;0.045 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000945;158;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933012077;000933012077;000933012077;12V4000M40A;12VM40A;189;OIL REPLENISHMENT PUMP;189 OIL REPLENISHMENT PUMP;12VM40A-189;;HEX SCREW;HEX SCREW;New;New;000933012077;000933012077;000933012018, 06.01283-3318, 06012833318, 5269900301, 06.01283-1318;000933012018, 06.01283-3318, 06012833318, 5269900301, 06.01283-1318;M 12 X 35;0.042 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001375;224;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933012093;000933012093;000933012093;12V4000M40A;12VM40A;86;LEAK-OFF FUEL LINE / FUEL RETURN;86 LEAK-OFF FUEL LINE / FUEL RETURN;12VM40A-86;;HEX SCREW;HEX SCREW;New;New;000933012093;000933012093;914126012010, 06012833320, 06.01283-3320, 000931012025, 000931012114, 000933012021;914126012010, 06012833320, 06.01283-3320, 000931012025, 000931012114, 000933012021;M 12 X 45;0.049 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000665;115;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933012094;000933012094;000933012094;12V4000M40A;12VM40A;;;;;;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 80;0.074 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001973;300;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933012120;000933012120;000933012120;12V4000M70;12VM70;241;;241;12VM70-241;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0299-01-25.webp;HEX SCREW;HEX SCREW;New;New;000933012120;000933012120;304017012017, 000931012139;304017012017, 000931012139;M 12 X 45;0.049 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-002143;299;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933016001;000933016001;000933016001;12V4000M40A;12VM40A;172;ELECTRIC STARTING;172 ELECTRIC STARTING;12VM40A-172;;HEX SCREW;HEX SCREW;New;New;000933016001;000933016001;;;M 16 X 20;0.062 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000975;167;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933016003;000933016003;000933016003;12V4000M53;12VM53;16;END HOUSING, DRIVING END AND FREE END;16 END HOUSING, DRIVING END AND FREE END;12VM53-16;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0035-01-250.webp;HEX SCREW;HEX SCREW;New;New;000933016003;000933016003;000933016060;000933016060;M 16 X 25;0.067 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000128;35;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000933020017;000933020017;000933020017;12V4000M40A;12VM40A;35;CRANKSHAFT, PTO ON AUX PTO END;35 CRANKSHAFT, PTO ON AUX PTO END;12VM40A-35;;HEX SCREW;HEX SCREW;New;New;;;;;M 20 X 50;0.174 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000287;51;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934003002;000934003002;000934003002;12V4000M40A;12VM40A;;;;;;HEX NUT;HEX NUT;New;New;000934003002;000934003002;304032003003, 000934003000;304032003003, 000934003000;M 3;0.001 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002408;358;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934005004;000934005004;000934005004;12V4000M40A;12VM40A;;;;;;NUT HEX;NUT HEX;New;New;000934005004;000934005004;000934005008, 000934005000;000934005008, 000934005000;M 5;0.001 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001777;261;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
