Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M40A-000723;20260605.0224;10;BALL;12V4000M40A;12VM40A;;0019814385;3110121343779;DIN5401;SI;;;;0.001 KGM;0.001 KGM;3G20;piezas;12V4000M40A-0124;5110200612;12V4000M40A-0124-01.webp;12V4000M40A;;;Superseded;005401303000;0019814385;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M53-003075;20260605.0224;110;DISC;12V4000M53;12VM53;;0019908840;5310121747453;ISO7089;SI;;;;0.001 KGM;0.001 KGM;8;piezas;12V4000M53-0358;X00E50206653;12V4000M53-0358-01.webp;12V4000M53;;;Superseded;200125008400;0019908840;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0358-01-110.webp
RB-12V4000M40A-000160;20260605.0224;300;O-RING;12V4000M40A;12VM40A;;0019970248;5331121786269;MTN5342;SI;;;;0.008 KGM;0.008 KGM;A 90 X 4;piezas;12V4000M40A-0031;X00014074;12V4000M40A-0031-01.webp;12V4000M40A;;;Superseded;700429090002;0019970248, 0019978945, 0029970140, 0029975545, 06.56640-0129;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000457;20260605.0224;120;O-RING;12V4000M40A;12VM40A;;0019970348;5331121989620;MTN5342;SI;077-05;INJECTION LINE / HP FUEL LINE;77 INJECTION LINE / HP FUEL LINE;0.005 KGM;0.005 KGM;A 36 X 5;piezas;12V4000M40A-0092;070.00058;12V4000M40A-0091-01.webp, 12V4000M40A-0091-02.webp;12V4000M40A;12VM40A-77;;Superseded;700429036001;0019970348, 0019972245;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M53-000457;20260605.0224;50;O-RING;12V4000M53;12VM53;;0019970548;5331124000741;MTN5342;SI;;;;0.001 KGM;0.001 KGM;D 39,2 X 3;piezas;12V4000M53-0076;X52404100208;12V4000M53-0076-01.webp;12V4000M53;;;Superseded;735252039000;11.35002-2046, 700294039000, 0009973045, 0009975748, 0029972545, 0019970548, 700429039000;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0076-01-50.webp
RB-12V4000M53-002181;20260605.0224;200;O-RING;12V4000M53;12VM53;;0019971248;5331121989630;MTN5342;SI;206-10;COOLANT PIPEWORK WITH THERMOSTAT;206 COOLANT PIPEWORK WITH THERMOSTAT;0.006 KGM;0.006 KGM;A 65 X 4;piezas;12V4000M53-0264;XS594200.00073;12V4000M53-0263-01.webp, 12V4000M53-0263-02.webp, 12V4000M53-0264-01.webp;12V4000M53;12VM53-206;;Superseded;700429065000;0019971248, 0029976145, 06.56640-0127;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0263-01-200.webp
RB-12V4000M40A-000074;20260605.0224;175;O-RING;12V4000M40A;12VM40A;;0019971348;5331121786302;MTN5342;SI;014-05;OIL PAN;14 OIL PAN;0.004 KGM;0.004 KGM;A 75 X 3,5;piezas;12V4000M40A-0020;010.00061;12V4000M40A-0020-01.webp;12V4000M40A;12VM40A-14;;Superseded;700429075002;0000741859, 0019971348, 0019979545;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001797;20260605.0224;100;O-RING;12V4000M40A;12VM40A;;0019971848;5331123268305;MTN5342;SI;206-05;COOLANT PIPEWORK WITH THERMOSTAT;206 COOLANT PIPEWORK WITH THERMOSTAT;0.008 KGM;0.008 KGM;A 100 X 4;piezas;12V4000M40A-0267;200.00120;12V4000M40A-0267-01.webp;12V4000M40A;12VM40A-206;;Superseded;700429100001;700294100003, 0019971848, 0019977045;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-20V4000M93L-001596;20260605.0224;50;UNION REDUCTION 1.5 IN X M52X2 AIR STRTR;20V4000M93L;20VM93L;;0019971871;;;NO;173-05;;173-05;0.605 KGM;0.605 KGM;;piezas;20V4000M93L-1312, 20V4000M93L-1315, 20V4000M93L-1692, 20V4000M93L-1695;170.00142;20V4000M93L-1312-01.webp, 20V4000M93L-1315-01.webp, 20V4000M93L-1692-01.webp, 20V4000M93L-1695-01.webp;20V4000M93L;20VM93L-173;;Superseded;X52617300003;0019971871;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1312-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1692-01-50.webp
RB-12V4000M40A-000699;20260605.0224;110;O-RING;12V4000M40A;12VM40A;;0019971948;5331121786270;MTN5342;SI;;;;0.007 KGM;0.007 KGM;A 105 X 3,5;piezas;12V4000M40A-0121;X00039514;12V4000M40A-0121-01.webp;12V4000M40A;;;Superseded;700429105001;0019971948, 0019978745;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
