model,engine_id,rebuild_id,block,field,diff_type,engine_value,rebuild_value
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,fn_pdf,expected_rebuild_diff,__undefined__,
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,gesa_error,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,gesa_final,empty_vs_value,SI,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Hierarchie,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,measure_raw,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,MEASUREMENT / STANDARD,empty_vs_value,,M 16 X180
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,measurement_final,empty_vs_value,M 16  X180,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,model,empty_vs_value,12VM40A,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,MODEL/TYPE,formatting_diff,,
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,MSTAE,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,MTART,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,MTU,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,New Part Number,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,norma_raw,empty_vs_value,ISO4017,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,normalizado_error,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,normalizado_final,empty_vs_value,SI,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,normalizado_pdf,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,nsn_error,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,nsn_final,empty_vs_value,5305123991673,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,pn_excel,empty_vs_value,000000000360,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,pn_new,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,pn_raw,empty_vs_value,000000000360,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,pn_recomendado,empty_vs_value,000000000360,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,precio,empty_vs_value,0,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Product Hierarchy,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qa_revision_confianza,empty_vs_value,1,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qa_revision_fecha,empty_vs_value,2026-05-04T15:33:39.441Z,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qa_revision_motivo,empty_vs_value,PN encontrado en GESA,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qa_revision_origen,empty_vs_value,auto,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qa_revision_regla_aplicada,empty_vs_value,C|D,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qa_revision_updated_at,empty_vs_value,2026-05-24T23:06:06.414Z,
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,qty_units_final,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,rebuild_match_status,expected_rebuild_diff,__undefined__,unique
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,rebuild_source_confidence,expected_rebuild_diff,__undefined__,1
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,rebuild_source_page,expected_rebuild_diff,__undefined__,208
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,rebuild_source_row_index,expected_rebuild_diff,__undefined__,8
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,rebuild_source_warnings,expected_rebuild_diff,__undefined__,"[""multiline-candidate""]"
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Replacement Type,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Seq no,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,source_file,empty_vs_value,12V4000M40A.xlsx,book_preview_12V4000M40A.json
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,source_sheet,empty_vs_value,1,
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,status,empty_vs_value,OK_GESA,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Superseded Part Number,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,sust_status_final,empty_vs_value,NO,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Valid From Date,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,WEIGHT,empty_vs_value,0.27 KGM,274 G
12V4000M40A,1100053,RB-12V4000M40A-000143,identity,ID,expected_rebuild_diff,1100053,RB-12V4000M40A-000143
12V4000M40A,1100053,RB-12V4000M40A-000143,identity,rebuild_legacy_engine_id,expected_rebuild_diff,__undefined__,1100053
12V4000M40A,1100053,RB-12V4000M40A-000143,identity,Source Page,formatting_diff,29,29
12V4000M40A,1100053,RB-12V4000M40A-000143,final,weight_final,empty_vs_value,0.026 KGM,26 G
12V4000M40A,1100053,RB-12V4000M40A-000143,final,measure_final,empty_vs_value,25- 40X12-SW8-W3,25- 40X12-SW7-W3
12V4000M40A,1100053,RB-12V4000M40A-000143,qa,qa_revision_estado,empty_vs_value,ok,pendiente
12V4000M40A,1100053,RB-12V4000M40A-000143,qa,qa_revision_accion,critical_missing,copia,
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,atributo2,empty_vs_value,Actualizados,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,categoria,empty_vs_value,12VM40A-18,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Cause,empty_vs_value,9002,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,criterio_pn,empty_vs_value,MATCH_CATALOGO,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Date,empty_vs_value,2022-01-10,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,DD/DTNA,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Denomination (New Part Number),empty_vs_value,CLAMP,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Denomination(Cause),empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,depuracion_ts,empty_vs_value,2026-04-27T00:11:37Z,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,detalle_cambio,empty_vs_value,match: 000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,engine,empty_vs_value,4000,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,existeix_sust_old,empty_vs_value,true,false
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,fg_code,empty_vs_value,18,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,fg_fgs_raw,empty_vs_value,018-12,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,fgs_code_description,empty_vs_value,18 CRANKCASE BREATHER,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,fgs_description,empty_vs_value,CRANKCASE BREATHER,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,FN,formatting_diff,,
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,fn_pdf,expected_rebuild_diff,__undefined__,
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,gesa_error,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,gesa_final,empty_vs_value,SI,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Hierarchie,empty_vs_value,New,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,hierarchie_final,empty_vs_value,New,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,measure_raw,empty_vs_value,MBN10223,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,MEASUREMENT / STANDARD,empty_vs_value,MBN10223,25- 40X12-SW7-W3
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,measurement_final,empty_vs_value,25- 40X12-SW8-W3,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,model,empty_vs_value,12VM40A,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,MODEL/TYPE,formatting_diff,,
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,MSTAE,empty_vs_value,60,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,MTART,empty_vs_value,YNOR,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,MTU,empty_vs_value,x,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,New Part Number,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,new_pn_final,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,norma_raw,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,normalizado_error,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,normalizado_final,empty_vs_value,SI,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,normalizado_pdf,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,nsn_error,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,nsn_final,empty_vs_value,4730123852641,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,pn_excel,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,pn_new,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,pn_raw,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,pn_recomendado,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,precio,empty_vs_value,0,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Product Hierarchy,empty_vs_value,P71,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qa_revision_confianza,empty_vs_value,1,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qa_revision_fecha,empty_vs_value,2026-05-04T15:33:39.441Z,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qa_revision_motivo,empty_vs_value,PN encontrado en GESA,__undefined__
